,loss_list
0,0.9172051764382839
1,0.8173108437038643
2,0.7293210647370479
3,0.6942502721417486
4,0.6477902857214519
5,0.630437977783584
6,0.6283905964953066
7,0.5995239870800733
8,0.5811489847706667
9,0.5691152088044802
10,0.5701053159053803
11,0.5533910780040734
12,0.5456009849138161
13,0.5337101157102505
